id,task,dataset,n,p,dataset_seed,category,method,method_seed,HPs,time,success,R2,R2train
reg_0_133_21_2_GLM_Ridge_0_nohp,reg,0,133,21,2,GLM,Ridge,0,nohp,0.001402139663696289,True,0.8345381465897801,0.8614032300473748
reg_0_133_21_2_GLM_Lasso_0_nohp,reg,0,133,21,2,GLM,Lasso,0,nohp,0.04087090492248535,True,0.8381154038838079,0.8601071878739377
reg_0_133_21_2_GLM_Enet_0_nohp,reg,0,133,21,2,GLM,Enet,0,nohp,0.042130470275878906,True,0.8404145511531989,0.8593159932192284
reg_0_133_21_2_TREE_CART_0_nohp,reg,0,133,21,2,TREE,CART,0,nohp,0.0013837814331054688,True,0.8426539296186326,1.0
reg_0_133_21_2_RF_XRF_0_nohp,reg,0,133,21,2,RF,XRF,0,nohp,0.08647036552429199,True,0.845865101423537,1.0
reg_0_133_21_2_GBDT_xgb_sklearn_0_nohp,reg,0,133,21,2,GBDT,xgb_sklearn,0,nohp,0.0272979736328125,True,0.8888099317538616,0.9707668728789398
reg_0_133_21_2_SVM_Kernel_0_nohp,reg,0,133,21,2,SVM,Kernel,0,nohp,0.0015406608581542969,True,0.8363234359721495,0.8612442629379483
reg_0_133_21_2_SVM_NuSVM_0_nohp,reg,0,133,21,2,SVM,NuSVM,0,nohp,0.0036344528198242188,True,0.8873615870820974,0.9551650591545128
reg_0_133_21_2_NN_MLP_sklearn_0_nohp,reg,0,133,21,2,NN,MLP_sklearn,0,nohp,0.11878561973571777,True,0.8510775813524682,0.9819500206177391
reg_0_133_21_2_RF_RF_0_nohp,reg,0,133,21,2,RF,RF,0,nohp,0.1100456714630127,True,0.8935430979659571,0.983456498829907
reg_0_133_21_2_MARS_MARS_0_nohp,reg,0,133,21,2,MARS,MARS,0,nohp,0.023582935333251953,True,0.8250366717190865,0.8542998524100585
reg_0_133_21_2_GBDT_XGBoost_0_nohp,reg,0,133,21,2,GBDT,XGBoost,0,nohp,0.035489797592163086,True,0.9021210294987696,0.9999922620030074
reg_0_133_21_2_GBDT_LGBM_0_nohp,reg,0,133,21,2,GBDT,LGBM,0,nohp,0.008050918579101562,True,0.819650972436959,0.8899781229447261
reg_0_133_21_2_mlrnet_mlrnetfast_0_nohp,reg,0,133,21,2,mlrnet,mlrnetfast,0,nohp,1.0111348628997803,True,0.8513089735772039,0.9745851668065137
reg_0_133_21_2_NN_regularnetfast_0_nohp,reg,0,133,21,2,NN,regularnetfast,0,nohp,0.8844814300537109,True,0.8295409075175159,0.9470159544104565
reg_0_133_21_3_Baseline_Intercept_0_nohp,reg,0,133,21,3,Baseline,Intercept,0,nohp,0.0006153583526611328,True,-0.06161593349987338,0.0
reg_0_133_21_3_GLM_Ridge_0_nohp,reg,0,133,21,3,GLM,Ridge,0,nohp,0.001500844955444336,True,0.8832268699625611,0.8463711259754273
reg_0_133_21_3_GLM_Lasso_0_nohp,reg,0,133,21,3,GLM,Lasso,0,nohp,0.04080033302307129,True,0.8833995270192606,0.8454677446779002
reg_0_133_21_3_GLM_Enet_0_nohp,reg,0,133,21,3,GLM,Enet,0,nohp,0.04263567924499512,True,0.8834450757647131,0.8448675128297028
reg_0_133_21_3_TREE_CART_0_nohp,reg,0,133,21,3,TREE,CART,0,nohp,0.0013377666473388672,True,0.9259285591277396,1.0
reg_0_133_21_3_RF_XRF_0_nohp,reg,0,133,21,3,RF,XRF,0,nohp,0.08633852005004883,True,0.9501055533184222,1.0
reg_0_133_21_3_GBDT_xgb_sklearn_0_nohp,reg,0,133,21,3,GBDT,xgb_sklearn,0,nohp,0.02723836898803711,True,0.9647725092723624,0.9603062564783518
reg_0_133_21_3_SVM_Kernel_0_nohp,reg,0,133,21,3,SVM,Kernel,0,nohp,0.00125885009765625,True,0.8896448355680857,0.8454806531371077
reg_0_133_21_3_SVM_NuSVM_0_nohp,reg,0,133,21,3,SVM,NuSVM,0,nohp,0.003626108169555664,True,0.9211382613040587,0.9481760020488117
reg_0_133_21_3_NN_MLP_sklearn_0_nohp,reg,0,133,21,3,NN,MLP_sklearn,0,nohp,0.10808467864990234,True,0.9207666339362701,0.9795827595303706
reg_0_133_21_3_RF_RF_0_nohp,reg,0,133,21,3,RF,RF,0,nohp,0.10806775093078613,True,0.9633520817291247,0.9757990514042115
reg_0_133_21_3_MARS_MARS_0_nohp,reg,0,133,21,3,MARS,MARS,0,nohp,0.022936105728149414,True,0.8748341732055176,0.8387641815979151
reg_0_133_21_3_GBDT_XGBoost_0_nohp,reg,0,133,21,3,GBDT,XGBoost,0,nohp,0.03526878356933594,True,0.9795346525263866,0.9999844274169278
reg_0_133_21_3_GBDT_LGBM_0_nohp,reg,0,133,21,3,GBDT,LGBM,0,nohp,0.008165597915649414,True,0.9084793217318534,0.9075494366931984
reg_0_133_21_3_mlrnet_mlrnetfast_0_nohp,reg,0,133,21,3,mlrnet,mlrnetfast,0,nohp,1.0309886932373047,True,0.9012600327554248,0.9538388994801392
reg_0_133_21_3_NN_regularnetfast_0_nohp,reg,0,133,21,3,NN,regularnetfast,0,nohp,0.8738753795623779,True,0.8957772109356723,0.9556625548729599
reg_0_133_21_4_Baseline_Intercept_0_nohp,reg,0,133,21,4,Baseline,Intercept,0,nohp,0.0006265640258789062,True,-0.014420449635276222,0.0
reg_0_133_21_4_GLM_Ridge_0_nohp,reg,0,133,21,4,GLM,Ridge,0,nohp,0.0013403892517089844,True,0.8856874223990191,0.8462847383043769
reg_0_133_21_4_GLM_Lasso_0_nohp,reg,0,133,21,4,GLM,Lasso,0,nohp,0.041152000427246094,True,0.8852820352384845,0.846232393603386
reg_0_133_21_4_GLM_Enet_0_nohp,reg,0,133,21,4,GLM,Enet,0,nohp,0.04271960258483887,True,0.8846296761140199,0.8461145573957136
reg_0_133_21_4_TREE_CART_0_nohp,reg,0,133,21,4,TREE,CART,0,nohp,0.001430511474609375,True,0.7772916908190628,1.0
reg_0_133_21_4_RF_XRF_0_nohp,reg,0,133,21,4,RF,XRF,0,nohp,0.08652758598327637,True,0.7806669880103113,1.0
reg_0_133_21_4_GBDT_xgb_sklearn_0_nohp,reg,0,133,21,4,GBDT,xgb_sklearn,0,nohp,0.026967525482177734,True,0.8744762941861347,0.9731976325098001
reg_0_133_21_4_SVM_Kernel_0_nohp,reg,0,133,21,4,SVM,Kernel,0,nohp,0.0013186931610107422,True,0.8857131598213221,0.846272902224435
reg_0_133_21_4_SVM_NuSVM_0_nohp,reg,0,133,21,4,SVM,NuSVM,0,nohp,0.0035636425018310547,True,0.8501614858038182,0.9575421465512279
reg_0_133_21_4_NN_MLP_sklearn_0_nohp,reg,0,133,21,4,NN,MLP_sklearn,0,nohp,0.10943293571472168,True,0.8344131821163623,0.9862859886791413
reg_0_133_21_4_RF_RF_0_nohp,reg,0,133,21,4,RF,RF,0,nohp,0.10749197006225586,True,0.8967507464741064,0.9808481131573943
reg_0_133_21_4_MARS_MARS_0_nohp,reg,0,133,21,4,MARS,MARS,0,nohp,0.023813724517822266,True,0.8895371292437277,0.837774915352087
reg_0_133_21_4_GBDT_XGBoost_0_nohp,reg,0,133,21,4,GBDT,XGBoost,0,nohp,0.0333094596862793,True,0.8943879109351962,0.999982881968535
reg_0_133_21_4_GBDT_LGBM_0_nohp,reg,0,133,21,4,GBDT,LGBM,0,nohp,0.008331537246704102,True,0.8301381219912649,0.8875778771709832
reg_0_133_21_4_mlrnet_mlrnetfast_0_nohp,reg,0,133,21,4,mlrnet,mlrnetfast,0,nohp,1.0531907081604004,True,0.8955434475224204,0.9796733138166375
reg_0_133_21_4_NN_regularnetfast_0_nohp,reg,0,133,21,4,NN,regularnetfast,0,nohp,0.9171309471130371,True,0.890929736238662,0.9775364241993147
reg_0_133_21_5_Baseline_Intercept_0_nohp,reg,0,133,21,5,Baseline,Intercept,0,nohp,0.0005772113800048828,True,-5.992616105721105e-05,0.0
reg_0_133_21_5_GLM_Ridge_0_nohp,reg,0,133,21,5,GLM,Ridge,0,nohp,0.0012943744659423828,True,0.8431061768038246,0.8603766198969967
reg_0_133_21_5_GLM_Lasso_0_nohp,reg,0,133,21,5,GLM,Lasso,0,nohp,0.04059171676635742,True,0.8419718345284422,0.8604328687765497
reg_0_133_21_5_GLM_Enet_0_nohp,reg,0,133,21,5,GLM,Enet,0,nohp,0.041967153549194336,True,0.8431216119768297,0.8603705279783062
reg_0_133_21_5_TREE_CART_0_nohp,reg,0,133,21,5,TREE,CART,0,nohp,0.0012748241424560547,True,0.8169294572231969,1.0
reg_0_133_21_5_RF_XRF_0_nohp,reg,0,133,21,5,RF,XRF,0,nohp,0.08442258834838867,True,0.7992516660791877,1.0
reg_0_133_21_5_GBDT_xgb_sklearn_0_nohp,reg,0,133,21,5,GBDT,xgb_sklearn,0,nohp,0.027104616165161133,True,0.8694197823325787,0.9663216527312388
reg_0_133_21_5_SVM_Kernel_0_nohp,reg,0,133,21,5,SVM,Kernel,0,nohp,0.0013976097106933594,True,0.8432375688772695,0.8603621263462913
reg_0_133_21_5_SVM_NuSVM_0_nohp,reg,0,133,21,5,SVM,NuSVM,0,nohp,0.003396272659301758,True,0.89500579851063,0.9554354194343976
reg_0_133_21_5_NN_MLP_sklearn_0_nohp,reg,0,133,21,5,NN,MLP_sklearn,0,nohp,0.11587285995483398,True,0.8608154978792733,0.9841109430363678
reg_0_133_21_5_RF_RF_0_nohp,reg,0,133,21,5,RF,RF,0,nohp,0.11093878746032715,True,0.847729107445813,0.9845070002168689
reg_0_133_21_5_MARS_MARS_0_nohp,reg,0,133,21,5,MARS,MARS,0,nohp,0.020975351333618164,True,0.8365311966036276,0.8543474657803319
reg_0_133_21_5_GBDT_XGBoost_0_nohp,reg,0,133,21,5,GBDT,XGBoost,0,nohp,0.03384852409362793,True,0.8323882331395673,0.9999807439875598
reg_0_133_21_5_GBDT_LGBM_0_nohp,reg,0,133,21,5,GBDT,LGBM,0,nohp,0.008078813552856445,True,0.8429393127879448,0.8957791210628192
