id,task,dataset,n,p,dataset_seed,strat,category,method,method_seed,HPs,time,success,R2,R2train
reg_0_109_330_3_False_TREE_CART_0_nohp,reg,0,109,330,3,False,TREE,CART,0,nohp,0.0037789344787597,True,-2.800022545817807,1.0
reg_0_109_330_3_False_RF_XRF_0_nohp,reg,0,109,330,3,False,RF,XRF,0,nohp,0.2565155029296875,True,-0.9022650915671659,1.0
reg_0_109_330_3_False_GBDT_xgb_sklearn_0_nohp,reg,0,109,330,3,False,GBDT,xgb_sklearn,0,nohp,0.0867695808410644,True,-0.4025857189316311,0.9052494432417927
reg_0_109_330_3_False_SVM_Kernel_0_nohp,reg,0,109,330,3,False,SVM,Kernel,0,nohp,0.0015623569488525,True,-6.381317706708077,0.9449113103037597
reg_0_109_330_3_False_SVM_NuSVM_0_nohp,reg,0,109,330,3,False,SVM,NuSVM,0,nohp,0.0098645687103271,True,0.10194134784335662,0.536939584622691
reg_0_109_330_3_False_NN_MLP_sklearn_0_nohp,reg,0,109,330,3,False,NN,MLP_sklearn,0,nohp,0.1027624607086181,True,-3.1762550819729363,0.9952389415347458
reg_0_109_330_3_False_RF_RF_0_nohp,reg,0,109,330,3,False,RF,RF,0,nohp,0.2527534961700439,True,-0.10044535189535186,0.8408372348995331
reg_0_109_330_4_False_Baseline_Intercept_0_nohp,reg,0,109,330,4,False,Baseline,Intercept,0,nohp,0.0005168914794921,True,-0.022798688659470434,0.0
reg_0_109_330_4_False_GLM_Ridge_0_nohp,reg,0,109,330,4,False,GLM,Ridge,0,nohp,0.0022327899932861,True,-0.24384361191356585,0.8664971412884698
reg_0_109_330_4_False_GLM_Lasso_0_nohp,reg,0,109,330,4,False,GLM,Lasso,0,nohp,3.635652780532837,True,0.022887513660056258,0.20275155116415844
reg_0_109_330_4_False_GLM_Enet_0_nohp,reg,0,109,330,4,False,GLM,Enet,0,nohp,2.678635358810425,True,0.021044935798097297,0.2137006600767134
reg_0_109_330_4_False_TREE_CART_0_nohp,reg,0,109,330,4,False,TREE,CART,0,nohp,0.0045266151428222,True,-1.0192175685636036,1.0
reg_0_109_330_4_False_RF_XRF_0_nohp,reg,0,109,330,4,False,RF,XRF,0,nohp,0.290724515914917,True,-0.8292537892746006,1.0
reg_0_109_330_4_False_GBDT_xgb_sklearn_0_nohp,reg,0,109,330,4,False,GBDT,xgb_sklearn,0,nohp,0.0873465538024902,True,0.2024019118253092,0.9208216519709551
reg_0_109_330_4_False_SVM_Kernel_0_nohp,reg,0,109,330,4,False,SVM,Kernel,0,nohp,0.0016169548034667,True,-1.9764359317341542,0.9541456485763471
reg_0_109_330_4_False_SVM_NuSVM_0_nohp,reg,0,109,330,4,False,SVM,NuSVM,0,nohp,0.0088744163513183,True,0.186700365771737,0.5179136172648233
reg_0_109_330_4_False_NN_MLP_sklearn_0_nohp,reg,0,109,330,4,False,NN,MLP_sklearn,0,nohp,0.0762829780578613,True,-0.05850105181954457,0.9994130064460711
reg_0_109_330_4_False_RF_RF_0_nohp,reg,0,109,330,4,False,RF,RF,0,nohp,0.2613389492034912,True,0.14526498290164958,0.8445876720811261
reg_0_109_330_5_False_Baseline_Intercept_0_nohp,reg,0,109,330,5,False,Baseline,Intercept,0,nohp,0.0005176067352294,True,-0.11341976081418825,0.0
reg_0_109_330_5_False_GLM_Ridge_0_nohp,reg,0,109,330,5,False,GLM,Ridge,0,nohp,0.0023338794708251,True,-0.6457969184181971,0.8581426342117601
reg_0_109_330_5_False_GLM_Lasso_0_nohp,reg,0,109,330,5,False,GLM,Lasso,0,nohp,3.41839599609375,True,-0.06692193006429137,0.34399628513917113
reg_0_109_330_5_False_GLM_Enet_0_nohp,reg,0,109,330,5,False,GLM,Enet,0,nohp,2.4268765449523926,True,-0.05520209196871373,0.3846197309932857
reg_0_109_330_5_False_TREE_CART_0_nohp,reg,0,109,330,5,False,TREE,CART,0,nohp,0.0041735172271728,True,-1.11749278360148,0.9640708223030522
reg_0_109_330_5_False_RF_XRF_0_nohp,reg,0,109,330,5,False,RF,XRF,0,nohp,0.2965409755706787,True,-1.0026973768183272,0.9640708223030522
reg_0_109_330_5_False_GBDT_xgb_sklearn_0_nohp,reg,0,109,330,5,False,GBDT,xgb_sklearn,0,nohp,0.0879366397857666,True,-0.11949203953787713,0.8826924965605539
reg_0_109_330_5_False_SVM_Kernel_0_nohp,reg,0,109,330,5,False,SVM,Kernel,0,nohp,0.0014102458953857,True,-3.0878461031616116,0.9213657977146157
reg_0_109_330_5_False_SVM_NuSVM_0_nohp,reg,0,109,330,5,False,SVM,NuSVM,0,nohp,0.0095033645629882,True,0.04324822547613516,0.543888642648958
reg_0_109_330_5_False_NN_MLP_sklearn_0_nohp,reg,0,109,330,5,False,NN,MLP_sklearn,0,nohp,0.0879402160644531,True,-0.040671087607366374,0.9599863404863181
reg_0_109_330_5_False_RF_RF_0_nohp,reg,0,109,330,5,False,RF,RF,0,nohp,0.2630317211151123,True,-0.044262990679807546,0.8383627918370476
reg_0_109_330_6_False_Baseline_Intercept_0_nohp,reg,0,109,330,6,False,Baseline,Intercept,0,nohp,0.0005273818969726,True,-0.022399030001453157,0.0
reg_0_109_330_6_False_GLM_Ridge_0_nohp,reg,0,109,330,6,False,GLM,Ridge,0,nohp,0.0021741390228271,True,-0.4591237489576363,0.8958414266092436
reg_0_109_330_6_False_GLM_Lasso_0_nohp,reg,0,109,330,6,False,GLM,Lasso,0,nohp,3.394128561019897,True,0.034856076232561484,0.24738033913810709
reg_0_109_330_6_False_GLM_Enet_0_nohp,reg,0,109,330,6,False,GLM,Enet,0,nohp,2.1962239742279053,True,0.030696144437382777,0.2909745226776642
reg_0_109_330_6_False_TREE_CART_0_nohp,reg,0,109,330,6,False,TREE,CART,0,nohp,0.0040352344512939,True,-0.7159923203279481,1.0
reg_0_109_330_6_False_RF_XRF_0_nohp,reg,0,109,330,6,False,RF,XRF,0,nohp,0.2787425518035888,True,-0.4566922989115332,1.0
reg_0_109_330_6_False_GBDT_xgb_sklearn_0_nohp,reg,0,109,330,6,False,GBDT,xgb_sklearn,0,nohp,0.0884480476379394,True,0.012676476437106232,0.9459185516045339
reg_0_109_330_6_False_SVM_Kernel_0_nohp,reg,0,109,330,6,False,SVM,Kernel,0,nohp,0.00140380859375,True,-2.377324427577845,0.9798717392390771
reg_0_109_330_6_False_SVM_NuSVM_0_nohp,reg,0,109,330,6,False,SVM,NuSVM,0,nohp,0.009031057357788,True,0.11585386890598404,0.5749947760907554
reg_0_109_330_6_False_NN_MLP_sklearn_0_nohp,reg,0,109,330,6,False,NN,MLP_sklearn,0,nohp,0.0673909187316894,True,-0.08169953814225295,0.9994838865055463
reg_0_109_330_6_False_RF_RF_0_nohp,reg,0,109,330,6,False,RF,RF,0,nohp,0.2584571838378906,True,0.11418289960414973,0.8527554212146904
reg_0_109_330_7_False_Baseline_Intercept_0_nohp,reg,0,109,330,7,False,Baseline,Intercept,0,nohp,0.0005147457122802,True,-0.002195717927515828,0.0
reg_0_109_330_7_False_GLM_Ridge_0_nohp,reg,0,109,330,7,False,GLM,Ridge,0,nohp,0.0021963119506835,True,-0.8407095446733743,0.8669383509333881
reg_0_109_330_7_False_GLM_Lasso_0_nohp,reg,0,109,330,7,False,GLM,Lasso,0,nohp,3.42844557762146,True,-0.002195717927515828,1.1102230246251565e-16
reg_0_109_330_7_False_GLM_Enet_0_nohp,reg,0,109,330,7,False,GLM,Enet,0,nohp,2.1905462741851807,True,-0.002195717927515828,1.1102230246251565e-16
reg_0_109_330_7_False_TREE_CART_0_nohp,reg,0,109,330,7,False,TREE,CART,0,nohp,0.0043451786041259,True,-0.756324182164686,0.9666324252538657
reg_0_109_330_7_False_RF_XRF_0_nohp,reg,0,109,330,7,False,RF,XRF,0,nohp,0.3212308883666992,True,-0.08698908499520619,0.9666324252538657
reg_0_109_330_7_False_GBDT_xgb_sklearn_0_nohp,reg,0,109,330,7,False,GBDT,xgb_sklearn,0,nohp,0.0925464630126953,True,0.037642334551469814,0.8916463901358611
reg_0_109_330_7_False_SVM_Kernel_0_nohp,reg,0,109,330,7,False,SVM,Kernel,0,nohp,0.0016486644744873,True,-3.8726530190545,0.9378112299148404
reg_0_109_330_7_False_SVM_NuSVM_0_nohp,reg,0,109,330,7,False,SVM,NuSVM,0,nohp,0.0096056461334228,True,0.2685973791863697,0.497378028108761
reg_0_109_330_7_False_NN_MLP_sklearn_0_nohp,reg,0,109,330,7,False,NN,MLP_sklearn,0,nohp,0.0774474143981933,True,-0.7403568684523354,0.9630056006255819
reg_0_109_330_7_False_RF_RF_0_nohp,reg,0,109,330,7,False,RF,RF,0,nohp,0.2652261257171631,True,0.2202290819737711,0.8175705722701342
reg_0_109_330_8_False_Baseline_Intercept_0_nohp,reg,0,109,330,8,False,Baseline,Intercept,0,nohp,0.0005528926849365,True,-0.11639070228145032,0.0
reg_0_109_330_8_False_GLM_Ridge_0_nohp,reg,0,109,330,8,False,GLM,Ridge,0,nohp,0.0023715496063232,True,-1.792123356538295,0.8718867067497454
reg_0_109_330_8_False_GLM_Lasso_0_nohp,reg,0,109,330,8,False,GLM,Lasso,0,nohp,3.561931848526001,True,-0.0924794316751889,0.03358498557486245
reg_0_109_330_8_False_GLM_Enet_0_nohp,reg,0,109,330,8,False,GLM,Enet,0,nohp,2.2771763801574707,True,-0.08222094059477558,0.056923966058917363
reg_0_109_330_8_False_TREE_CART_0_nohp,reg,0,109,330,8,False,TREE,CART,0,nohp,0.003957986831665,True,-1.6338411954961334,0.9691092585894048
reg_0_109_330_8_False_RF_XRF_0_nohp,reg,0,109,330,8,False,RF,XRF,0,nohp,0.2839210033416748,True,-0.6139100812637892,0.9691092585894048
reg_0_109_330_8_False_GBDT_xgb_sklearn_0_nohp,reg,0,109,330,8,False,GBDT,xgb_sklearn,0,nohp,0.0868480205535888,True,-0.7326173569283929,0.8937743257390672
reg_0_109_330_8_False_SVM_Kernel_0_nohp,reg,0,109,330,8,False,SVM,Kernel,0,nohp,0.0014233589172363,True,-6.440563098658224,0.9400613418820564
reg_0_109_330_8_False_SVM_NuSVM_0_nohp,reg,0,109,330,8,False,SVM,NuSVM,0,nohp,0.0092124938964843,True,-0.07603747600171018,0.5730006750907116
reg_0_109_330_8_False_NN_MLP_sklearn_0_nohp,reg,0,109,330,8,False,NN,MLP_sklearn,0,nohp,0.0782198905944824,True,-1.3217970962490337,0.9682203406666265
reg_0_109_330_8_False_RF_RF_0_nohp,reg,0,109,330,8,False,RF,RF,0,nohp,0.2589783668518066,True,-0.3448632518783046,0.8227886014968655
reg_0_109_330_9_False_Baseline_Intercept_0_nohp,reg,0,109,330,9,False,Baseline,Intercept,0,nohp,0.0008325576782226,True,-0.017387281467736715,0.0
reg_0_109_330_9_False_GLM_Ridge_0_nohp,reg,0,109,330,9,False,GLM,Ridge,0,nohp,0.0023086071014404,True,-1.507542745860463,0.8586842174362359
reg_0_109_330_9_False_GLM_Lasso_0_nohp,reg,0,109,330,9,False,GLM,Lasso,0,nohp,3.359062433242798,True,-0.017220156729371938,0.16045267100579874
reg_0_109_330_9_False_GLM_Enet_0_nohp,reg,0,109,330,9,False,GLM,Enet,0,nohp,2.2400262355804443,True,-0.012537294233488261,0.14431870129271163
reg_0_109_330_9_False_TREE_CART_0_nohp,reg,0,109,330,9,False,TREE,CART,0,nohp,0.0038084983825683,True,-1.632458836666261,0.9688761089761492
reg_0_109_330_9_False_RF_XRF_0_nohp,reg,0,109,330,9,False,RF,XRF,0,nohp,0.2538888454437256,True,-1.6511103958859756,0.9688761089761492
reg_0_109_330_9_False_GBDT_xgb_sklearn_0_nohp,reg,0,109,330,9,False,GBDT,xgb_sklearn,0,nohp,0.087090253829956,True,-0.9470926495049423,0.920969071299784
reg_0_109_330_9_False_SVM_Kernel_0_nohp,reg,0,109,330,9,False,SVM,Kernel,0,nohp,0.0014007091522216,True,-4.2017215069118645,0.9274663400097372
