id,task,dataset,n,p,dataset_seed,category,method,method_seed,HPs,time,success,ACC,AUC,ACCtrain,AUCtrain
clf_15_15216_10_8_RF_RF_0_nohp,clf,15,15216,10,8,RF,RF,0,nohp,4.4768736362457275,True,0.8743427970557308,0.9302927891067395,1.0,1.0
clf_15_15216_10_8_GBDT_XGBoost_0_nohp,clf,15,15216,10,8,GBDT,XGBoost,0,nohp,2.4365243911743164,True,0.8788117770767613,0.9313543110063682,0.9650368033648791,0.9956609786086834
clf_15_15216_10_8_GBDT_LGBM_0_nohp,clf,15,15216,10,8,GBDT,LGBM,0,nohp,0.4747135639190674,True,0.8753943217665615,0.9347948239555717,0.9222528916929548,0.9750041206370978
clf_15_15216_10_8_mlrnet_mlrnetfast_0_nohp,clf,15,15216,10,8,mlrnet,mlrnetfast,0,nohp,6.29589319229126,True,0.8682965299684543,0.9276731561190334,0.8874868559411146,0.9444591450672659
clf_15_15216_10_8_NN_regularnetfast_0_nohp,clf,15,15216,10,8,NN,regularnetfast,0,nohp,2.530540704727173,True,0.8730283911671924,0.9324190151986296,0.8937960042060988,0.9483143752451068
clf_15_15216_10_9_Baseline_Intercept_0_nohp,clf,15,15216,10,9,Baseline,Intercept,0,nohp,0.008506059646606445,True,0.5412723449001051,0.5040991760401401,0.5498817034700315,0.5021275899315898
clf_15_15216_10_9_GLM_Ridge_0_nohp,clf,15,15216,10,9,GLM,Ridge,0,nohp,0.9869394302368164,True,0.7925867507886435,0.8472050024747911,0.7904179810725552,0.8374814328378655
clf_15_15216_10_9_GLM_LinearRidge_0_nohp,clf,15,15216,10,9,GLM,LinearRidge,0,nohp,0.018491744995117188,True,0.7841745531019979,0.8457665301487788,0.7833201892744479,0.8365668078392293
clf_15_15216_10_9_GLM_Lasso_0_nohp,clf,15,15216,10,9,GLM,Lasso,0,nohp,2.0853044986724854,True,0.7931125131440588,0.8470093847960481,0.7909437434279706,0.8372455075120291
clf_15_15216_10_9_GLM_Enet_0_nohp,clf,15,15216,10,9,GLM,Enet,0,nohp,2.6140847206115723,True,0.7923238696109358,0.8471197798891682,0.7906151419558359,0.8373799025491072
clf_15_15216_10_9_QDA_QDA_0_nohp,clf,15,15216,10,9,QDA,QDA,0,nohp,0.01659989356994629,True,0.788906414300736,0.8807682952571355,0.7827287066246057,0.8680032182070782
clf_15_15216_10_9_TREE_CART_0_nohp,clf,15,15216,10,9,TREE,CART,0,nohp,0.22115015983581543,True,0.8151945320715037,0.7986981870942071,1.0,1.0
clf_15_15216_10_9_TREE_XCART_0_nohp,clf,15,15216,10,9,TREE,XCART,0,nohp,0.023543834686279297,True,0.7973186119873817,0.7737640602102117,1.0,1.0
clf_15_15216_10_9_RF_XRF_0_nohp,clf,15,15216,10,9,RF,XRF,0,nohp,1.7054507732391357,True,0.8801261829652997,0.9365090220693135,1.0,1.0
clf_15_15216_10_9_GBDT_xgb_sklearn_0_nohp,clf,15,15216,10,9,GBDT,xgb_sklearn,0,nohp,4.163909673690796,True,0.8772344900105152,0.9280151204883588,0.8840694006309149,0.9373750666008387
clf_15_15216_10_9_GBDT_ADABoost_0_nohp,clf,15,15216,10,9,GBDT,ADABoost,0,nohp,1.0815577507019043,True,0.8422712933753943,0.897619469327148,0.8474631966351209,0.9039824081347886
clf_15_15216_10_9_NN_MLP_sklearn_0_nohp,clf,15,15216,10,9,NN,MLP_sklearn,0,nohp,11.268476009368896,True,0.8796004206098843,0.9308796305282467,0.8832807570977917,0.9412337574268649
clf_15_15216_10_9_RF_RF_0_nohp,clf,15,15216,10,9,RF,RF,0,nohp,4.350064754486084,True,0.8851209253417456,0.9391324219470296,1.0,0.9999999999999999
clf_15_15216_10_9_GBDT_XGBoost_0_nohp,clf,15,15216,10,9,GBDT,XGBoost,0,nohp,2.4309897422790527,True,0.8811777076761304,0.9355896189792214,0.9657597266035752,0.9953311978634389
clf_15_15216_10_9_GBDT_LGBM_0_nohp,clf,15,15216,10,9,GBDT,LGBM,0,nohp,0.47524046897888184,True,0.8801261829652997,0.9378239064820116,0.924553101997897,0.9744564947258803
clf_15_15216_10_9_mlrnet_mlrnetfast_0_nohp,clf,15,15216,10,9,mlrnet,mlrnetfast,0,nohp,6.281735181808472,True,0.8767087276550999,0.9287683243723249,0.8812434279705573,0.9399894431230352
clf_15_15216_10_9_NN_regularnetfast_0_nohp,clf,15,15216,10,9,NN,regularnetfast,0,nohp,2.560265064239502,True,0.8861724500525763,0.9371445520628111,0.892021556256572,0.9484330599440888
clf_16_2387_144_0_GLM_LinearRidge_0_nohp,clf,16,2387,144,0,GLM,LinearRidge,0,nohp,0.1869668960571289,True,0.7772194304857621,0.857324054327085,0.8194386258902387,0.8877944160120187
clf_16_2387_144_0_GLM_Lasso_0_nohp,clf,16,2387,144,0,GLM,Lasso,0,nohp,6.474123477935791,True,0.7872696817420436,0.8658210798069369,0.8005865102639296,0.868108646967559
clf_16_2387_144_0_GLM_Enet_0_nohp,clf,16,2387,144,0,GLM,Enet,0,nohp,37.615407943725586,True,0.7922948073701842,0.8653833202379616,0.7984918307498953,0.8685277619819857
clf_16_2387_144_0_QDA_QDA_0_nohp,clf,16,2387,144,0,QDA,QDA,0,nohp,0.03288888931274414,True,0.6063651591289783,0.6416208328656415,0.6338500209467951,0.6898489220249503
clf_16_2387_144_0_TREE_CART_0_nohp,clf,16,2387,144,0,TREE,CART,0,nohp,0.03265690803527832,True,0.7269681742043551,0.727028847233135,1.0,1.0
clf_16_2387_144_0_TREE_XCART_0_nohp,clf,16,2387,144,0,TREE,XCART,0,nohp,0.00832056999206543,True,0.7520938023450586,0.75170613985857,1.0,1.0
clf_16_2387_144_0_RF_XRF_0_nohp,clf,16,2387,144,0,RF,XRF,0,nohp,0.42171406745910645,True,0.8140703517587939,0.8939106521495117,1.0,1.0
clf_16_2387_144_0_GBDT_xgb_sklearn_0_nohp,clf,16,2387,144,0,GBDT,xgb_sklearn,0,nohp,0.7960422039031982,True,0.8140703517587939,0.8740262655741384,0.8709677419354839,0.9542694270690733
clf_16_2387_144_0_GBDT_ADABoost_0_nohp,clf,16,2387,144,0,GBDT,ADABoost,0,nohp,0.32726025581359863,True,0.7939698492462312,0.8580199797957121,0.8135735232509426,0.8911620788666345
clf_16_2387_144_0_NN_MLP_sklearn_0_nohp,clf,16,2387,144,0,NN,MLP_sklearn,0,nohp,1.9291095733642578,True,0.7755443886097152,0.8654731170726232,1.0,1.0
clf_16_2387_144_0_RF_RF_0_nohp,clf,16,2387,144,0,RF,RF,0,nohp,0.4094250202178955,True,0.7989949748743719,0.8925356381187564,1.0,1.0
clf_16_2387_144_0_GBDT_XGBoost_0_nohp,clf,16,2387,144,0,GBDT,XGBoost,0,nohp,1.0679337978363037,True,0.8040201005025126,0.8639577954877091,1.0,1.0
clf_16_2387_144_0_GBDT_LGBM_0_nohp,clf,16,2387,144,0,GBDT,LGBM,0,nohp,0.19318938255310059,True,0.8157453936348409,0.8711752160736334,0.9966485127775451,0.9999971918591998
clf_16_2387_144_0_mlrnet_mlrnetfast_0_nohp,clf,16,2387,144,0,mlrnet,mlrnetfast,0,nohp,5.749327898025513,True,0.7688442211055276,0.8541923897182624,0.8357771260997068,0.9126352295304087
clf_16_2387_144_0_NN_regularnetfast_0_nohp,clf,16,2387,144,0,NN,regularnetfast,0,nohp,1.073930025100708,True,0.7839195979899497,0.8617577730385003,0.9388353581901969,0.976123782846472
clf_16_2387_144_1_Baseline_Intercept_0_nohp,clf,16,2387,144,1,Baseline,Intercept,0,nohp,0.004676103591918945,True,0.47068676716917923,0.5197272421147155,0.4909928780896523,0.4997837731583862
clf_16_2387_144_1_GLM_Ridge_0_nohp,clf,16,2387,144,1,GLM,Ridge,0,nohp,3.374786376953125,True,0.7688442211055276,0.8518688966213941,0.8190196899874319,0.8889141621560904
clf_16_2387_144_1_GLM_LinearRidge_0_nohp,clf,16,2387,144,1,GLM,LinearRidge,0,nohp,0.029191017150878906,True,0.7738693467336684,0.8523403300033674,0.8232090490155006,0.889172511109707
clf_16_2387_144_1_GLM_Lasso_0_nohp,clf,16,2387,144,1,GLM,Lasso,0,nohp,7.901921510696411,True,0.7671691792294807,0.8508025592097878,0.8223711772098868,0.8890847567097014
clf_16_2387_144_1_GLM_Enet_0_nohp,clf,16,2387,144,1,GLM,Enet,0,nohp,37.757245779037476,True,0.7822445561139029,0.8482994724435964,0.7905320485965647,0.8427374458555352
clf_16_2387_144_1_QDA_QDA_0_nohp,clf,16,2387,144,1,QDA,QDA,0,nohp,0.03001546859741211,True,0.5745393634840871,0.7785666180267146,0.6367825722664432,0.863030475348034
clf_16_2387_144_1_TREE_CART_0_nohp,clf,16,2387,144,1,TREE,CART,0,nohp,0.0338132381439209,True,0.7353433835845896,0.7352677068133349,1.0,1.0
clf_16_2387_144_1_TREE_XCART_0_nohp,clf,16,2387,144,1,TREE,XCART,0,nohp,0.00819706916809082,True,0.7353433835845896,0.7352284206981705,1.0,1.0
clf_16_2387_144_1_RF_XRF_0_nohp,clf,16,2387,144,1,RF,XRF,0,nohp,0.420640230178833,True,0.8107202680067002,0.8854024020653272,1.0,1.0
clf_16_2387_144_1_GBDT_xgb_sklearn_0_nohp,clf,16,2387,144,1,GBDT,xgb_sklearn,0,nohp,0.7951972484588623,True,0.7989949748743719,0.8613761364911886,0.8759949727691663,0.948970465379134
