,pretty_name,url_repository,original_file_name,new_name,raw_file_size,url_description,discarded,y,header,foot,col_start,col_end,task,sep,encoding,comment
31,Cylinder Bands,https://archive.ics.uci.edu/ml/machine-learning-databases/cylinder-bands/,bands.data,Cylinder Bandsbands.data,103300.0,https://archive.ics.uci.edu/ml/datasets/Cylinder+Bands,0,-1,0,-8,1,-1,C,,,
33,QSAR biodegradation,https://archive.ics.uci.edu/ml/machine-learning-databases/00254/,biodeg.csv,QSAR biodegradationbiodeg.csv,155987.0,https://archive.ics.uci.edu/ml/datasets/QSAR+biodegradation,0,-1,0,-1,0,-1,C,;,,
34,Abalone,https://archive.ics.uci.edu/ml/machine-learning-databases/abalone/,abalone.data,Abaloneabalone.data,191873.0,https://archive.ics.uci.edu/ml/datasets/Abalone,0,-1,0,-1,0,-1,R,,,
58,Sylvine,https://www.openml.org/data/get_csv/19335519/,file7a97574fa9ae.arff,Sylvinefile7a97574fa9ae.arff,430701.0,https://www.openml.org/d/41146,0,0,1,-1,0,-1,C,,, 
37,SkillCraft1 Master Table Dataset,https://archive.ics.uci.edu/ml/machine-learning-databases/00272/,SkillCraft1_Dataset.csv,SkillCraft1 Master Table DatasetSkillCraft1_Dataset.csv,500259.0,https://archive.ics.uci.edu/ml/datasets/SkillCraft1+Master+Table+Dataset,0,2,1,-1,1,-1,M,,,
39,Seoul Bike Sharing Demand,https://archive.ics.uci.edu/ml/machine-learning-databases/00560/,SeoulBikeData.csv,Seoul Bike Sharing DemandSeoulBikeData.csv,604166.0,https://archive.ics.uci.edu/ml/datasets/Seoul+Bike+Sharing+Demand,0,1,1,-1,1,-1,R,,latin-1,
59,junglechess,https://www.openml.org/data/get_csv/18631418/,jungle_chess_2pcs_raw_endgame_complete.csv,junglechessjungle_chess_2pcs_raw_endgame_complete.csv,627602.0,https://www.openml.org/d/41027,0,-1,1,-1,0,-1,M,,,none
42,Communities and Crime,https://archive.ics.uci.edu/ml/machine-learning-databases/communities/,communities.data,Communities and Crimecommunities.data,1102815.0,https://archive.ics.uci.edu/ml/datasets/Communities+and+Crime,0,-1,0,-1,5,-1,R,,,
65,Eye movements,https://www.openml.org/data/get_csv/53927/,eye_movements.arff,Eye movementseye_movements.arff,1375392.0,https://www.openml.org/d/1044,0,-1,1,-1,0,-1,M,,, 
44,MAGIC Gamma Telescope,https://archive.ics.uci.edu/ml/machine-learning-databases/magic/,magic04.data,MAGIC Gamma Telescopemagic04.data,1477391.0,https://archive.ics.uci.edu/ml/datasets/MAGIC+Gamma+Telescope,0,-1,0,-1,0,-1,C,,,
59,Shuttle ,https://www.openml.org/data/get_csv/4965262/,shuttle.arff,Shuttle shuttle.arff,1537828.0,https://www.openml.org/d/40685,0,-1,1,-1,0,-1,M,,, 7 class
57,Jasmine,https://www.openml.org/data/get_csv/19335516/,file79b563a1a18.arff,Jasminefile79b563a1a18.arff,1823560.0,https://www.openml.org/d/41143,0,0,1,-1,0,-1,C,,,2 class
45,Beijing PM2.5 Data,https://archive.ics.uci.edu/ml/machine-learning-databases/00381/,PRSA_data_2010.1.1-2014.12.31.csv,Beijing PM2.5 DataPRSA_data_2010.1.1-2014.12.31.csv,2010494.0,https://archive.ics.uci.edu/ml/datasets/Beijing+PM2.5+Data,0,5,1,-1,1,-1,R,,,
46,Electrical Grid Stability Simulated Data ,https://archive.ics.uci.edu/ml/machine-learning-databases/00471/,Data_for_UCI_named.csv,Electrical Grid Stability Simulated Data Data_for_UCI_named.csv,2417871.0,https://archive.ics.uci.edu/ml/datasets/Electrical+Grid+Stability+Simulated+Data+,0,-2,1,-1,0,-1,R,,,
66,Gesture,https://www.openml.org/data/get_csv/1798765/,phpYLeydd,GesturephpYLeydd,3505445.0,https://www.openml.org/d/4538,0,-1,1,-1,0,-1,M,,, 
48,Physicochemical Properties of Protein Tertiary Structure,https://archive.ics.uci.edu/ml/machine-learning-databases/00265/,CASP.csv,Physicochemical Properties of Protein Tertiary StructureCASP.csv,3528710.0,https://archive.ics.uci.edu/ml/datasets/Physicochemical+Properties+of+Protein+Tertiary+Structure,0,6,1,-1,0,-1,R,,,
49,Adult,https://archive.ics.uci.edu/ml/machine-learning-databases/adult/,adult.data,Adultadult.data,3974305.0,https://archive.ics.uci.edu/ml/datasets/Adult,0,-1,0,-1,0,-1,C,,,
50,Appliances energy prediction,https://archive.ics.uci.edu/ml/machine-learning-databases/00374/,energydata_complete.csv,Appliances energy predictionenergydata_complete.csv,11979363.0,https://archive.ics.uci.edu/ml/datasets/Appliances+energy+prediction,0,2,1,-1,1,-3,R,,,
55,Fabert,https://www.openml.org/data/get_csv/19335687/,file1c555f4ca44d.arff,Fabertfile1c555f4ca44d.arff,13681117.0,https://www.openml.org/d/41164,0,0,1,-1,0,-1,M,,,7 class
56,Nomao,https://www.openml.org/data/get_csv/1592278/,phpDYCOet,NomaophpDYCOet,20198746.0,https://www.openml.org/d/1486,0,-1,1,-1,0,-1,C,,,5 class
56,christine,https://www.openml.org/data/get_csv/19335515/,file764d5d063390.csv,christinefile764d5d063390.csv,32913547.0,https://www.openml.org/d/41142,0,0,1,-2,0,-1,C,,,none
54,numerai,https://www.openml.org/data/get_csv/2160285/,phpg2t68G,numeraiphpg2t68G,36585293.0,https://www.openml.org/d/23517,0,-1,1,-1,0,-1,C,,,none
58,jannis,https://www.openml.org/data/get_csv/19335691/,file1c558ee247d.csv,jannisfile1c558ee247d.csv,38437738.0,https://www.openml.org/d/41168,0,0,1,-1,0,-1,M,,,none
63,Volkert,https://www.openml.org/data/get_csv/19335689/,file1c556e3db171.arff,Volkertfile1c556e3db171.arff,68219213.0,https://www.openml.org/d/41166,0,0,1,-1,0,-1,M,,, 
53,covertype,https://www.openml.org/data/get_csv/1601911/,phpQOf0wY,covertypephpQOf0wY,75170169.0,https://www.openml.org/d/1596,0,-1,1,-1,0,-1,M,,,
62,APSFailure ,https://www.openml.org/data/get_csv/19335511/,aps_failure.arff,APSFailure aps_failure.arff,78396022.0,https://www.openml.org/d/41138,0,0,1,-1,0,-1,C,,, 
54,Dilbert,https://www.openml.org/data/get_csv/19335686/,file1c5552c0c4b0.arff,Dilbertfile1c5552c0c4b0.arff,184547059.0,https://www.openml.org/d/41163,0,0,1,-1,0,-1,M,,,5 class
60,Riccardo ,https://www.openml.org/data/get_csv/19335534/,file7b535210a7df.arff,Riccardo file7b535210a7df.arff,434098809.0,https://www.openml.org/d/41161,0,0,1,-1,0,-1,C,,, 
61,Guillermo,https://www.openml.org/data/get_csv/19335532/,file7b5323e77330.arff,Guillermofile7b5323e77330.arff,445100332.0,https://www.openml.org/d/41159,0,0,1,-1,0,-1,C,,, 
