id,task,dataset,n,p,dataset_seed,strat,category,method,method_seed,HPs,time,success,ACC,AUC,ACCtrain,AUCtrain
clf_7_348_48_5_False_mlrnet_mlrnetfast_0_nohp,clf,7,348,48,5,False,mlrnet,mlrnetfast,0,nohp,1.5138068199157717,True,0.9310344827586207,0.9461709211986682,0.9971264367816092,1.0
clf_7_348_48_5_False_NN_regularnetfast_0_nohp,clf,7,348,48,5,False,NN,regularnetfast,0,nohp,1.1073596477508545,True,0.9310344827586207,0.9583795782463929,0.9971264367816092,0.9999651276328637
clf_7_348_48_6_False_Baseline_Intercept_0_nohp,clf,7,348,48,6,False,Baseline,Intercept,0,nohp,0.0021948814392089,True,0.5862068965517241,0.4875,0.5545977011494253,0.556881243063263
clf_7_348_48_6_False_GLM_Ridge_0_nohp,clf,7,348,48,6,False,GLM,Ridge,0,nohp,0.0955991744995117,True,0.9655172413793104,0.9846590909090909,0.9827586206896551,0.9991675915649278
clf_7_348_48_6_False_GLM_LinearRidge_0_nohp,clf,7,348,48,6,False,GLM,LinearRidge,0,nohp,0.0047545433044433,True,0.9770114942528736,0.9977272727272727,0.9540229885057471,0.997572142064373
clf_7_348_48_6_False_GLM_Lasso_0_nohp,clf,7,348,48,6,False,GLM,Lasso,0,nohp,0.2464194297790527,True,0.9770114942528736,0.99375,0.9511494252873564,0.9941037735849056
clf_7_348_48_6_False_GLM_Enet_0_nohp,clf,7,348,48,6,False,GLM,Enet,0,nohp,1.7930197715759275,True,0.9655172413793104,0.99375,0.9770114942528736,0.9980056881243063
clf_7_348_48_6_False_QDA_QDA_0_nohp,clf,7,348,48,6,False,QDA,QDA,0,nohp,0.0044431686401367,True,0.9080459770114943,0.9897727272727272,0.9281609195402298,0.9795019422863487
clf_7_348_48_6_False_TREE_CART_0_nohp,clf,7,348,48,6,False,TREE,CART,0,nohp,0.0031695365905761,True,0.9425287356321839,0.9349431818181818,1.0,1.0
clf_7_348_48_6_False_TREE_XCART_0_nohp,clf,7,348,48,6,False,TREE,XCART,0,nohp,0.0027046203613281,True,0.9540229885057471,0.9440340909090909,1.0,1.0
clf_7_348_48_6_False_RF_XRF_0_nohp,clf,7,348,48,6,False,RF,XRF,0,nohp,0.1110537052154541,True,0.9425287356321839,0.9906250000000001,1.0,1.0
